src,dest,ttl,win,len,mal
185.199.110.154 , 192.168.43.71 ,56,28400,52,0
192.168.43.71 , 185.199.110.154 ,128,68,40,0
192.168.43.71 , 185.199.110.154 ,128,68,557,0
192.168.43.71 , 145.14.144.81 ,128,17520,52,0
13.35.189.41 , 192.168.43.71 ,243,29200,52,0
185.199.110.154 , 192.168.43.71 ,56,28400,52,0
192.168.43.71 , 185.199.110.154 ,128,68,40,0
185.199.110.154 , 192.168.43.71 ,56,58,40,0
185.199.110.154 , 192.168.43.71 ,56,58,194,0
192.168.43.71 , 185.199.110.154 ,128,67,91,0
192.168.43.71 , 185.199.110.154 ,128,67,133,0
192.168.43.71 , 185.199.110.154 ,128,67,405,0
13.35.189.41 , 192.168.43.71 ,243,29200,52,0
192.168.43.71 , 192.30.253.112 ,128,68,1340,0
185.199.110.154 , 192.168.43.71 ,56,58,40,0
185.199.110.154 , 192.168.43.71 ,56,58,106,0
192.30.253.112 , 192.168.43.71 ,47,35,40,0
192.168.43.71 , 185.199.110.154 ,128,67,78,0
185.199.110.154 , 192.168.43.71 ,56,60,344,0
192.168.43.71 , 185.199.110.154 ,128,66,40,0
145.14.144.81 , 192.168.43.71 ,45,29200,52,0
185.199.110.154 , 192.168.43.71 ,56,60,40,0
192.30.253.112 , 192.168.43.71 ,47,35,1340,0
192.30.253.112 , 192.168.43.71 ,47,35,132,0
192.30.253.112 , 192.168.43.71 ,47,35,1340,0
192.30.253.112 , 192.168.43.71 ,47,35,132,0
192.168.43.71 , 192.30.253.112 ,128,68,40,0
192.30.253.112 , 192.168.43.71 ,47,35,1340,0
192.30.253.112 , 192.168.43.71 ,47,35,1340,0
192.168.43.71 , 192.30.253.112 ,128,68,40,0
192.30.253.112 , 192.168.43.71 ,47,35,1340,0
192.30.253.112 , 192.168.43.71 ,47,35,1340,0
192.168.43.71 , 192.30.253.112 ,128,68,40,0
192.30.253.112 , 192.168.43.71 ,47,35,1340,0
192.30.253.112 , 192.168.43.71 ,47,35,1340,0
192.168.43.71 , 192.30.253.112 ,128,68,40,0
192.30.253.112 , 192.168.43.71 ,47,35,1340,0
192.30.253.112 , 192.168.43.71 ,47,35,1340,0
192.168.43.71 , 192.30.253.112 ,128,68,40,0
192.30.253.112 , 192.168.43.71 ,47,35,1340,0
192.30.253.112 , 192.168.43.71 ,47,35,1340,0
