"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.16.23.109","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"2","0.000003","172.16.23.109","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"3","0.008023","NubiaTec_96:7d:85","ZebraTec_f0:f0:04","0x8781","74","Ethernet II"
"4","0.008143","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"5","0.008672","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"6","0.009518","NubiaTec_96:7d:85","ZebraTec_f0:f0:04","0x8781","594","Ethernet II"
"7","0.044024","HewlettP_ce:77:3b","Broadcast","ARP","60","Who has 172.16.20.250? Tell 172.16.20.1"
"8","0.044197","172.16.21.76","255.255.255.255","UDP","68","64922  >  2008 Len=26"
"9","0.044975","172.16.21.76","255.255.255.255","UDP","68","64922  >  2007 Len=26"
"10","0.100204","172.16.23.109","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"11","0.131548","172.16.23.109","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"12","0.131549","172.16.23.151","224.0.0.251","MDNS","299","Standard query 0x4477 PTR _alljoyn._udp.local, ""QU"" question PTR _alljoyn._tcp.local, ""QU"" question TXT TXT"
"13","0.131551","172.16.23.151","224.0.0.251","MDNS","495","Standard query response 0x4475 PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._udp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._tcp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT TXT TXT A 172.16.23.151"
"14","0.131551","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"15","0.131552","172.16.23.151","224.0.0.251","MDNS","299","Standard query 0x4477 PTR _alljoyn._udp.local, ""QU"" question PTR _alljoyn._tcp.local, ""QU"" question TXT TXT"
"16","0.131553","0.0.0.0","255.255.255.255","DHCP","356","DHCP Discover - Transaction ID 0xe5de3ac1"
"17","0.131554","::","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"18","0.131555","::","ff02::1:ff96:7d85","ICMPv6","78","Neighbor Solicitation for fe80::def0:90ff:fe96:7d85"
"19","0.131556","HewlettP_ce:77:3b","Broadcast","ARP","60","Who has 172.16.21.60? Tell 172.16.20.1"
"20","0.146561","172.16.23.229","224.0.0.251","MDNS","60","Standard query response 0x0000"
"21","0.146564","172.16.23.229","224.0.0.251","MDNS","60","Standard query response 0x0000"
"22","0.151093","ExtremeN_17:e1:e0","ZebraTec_00:00:00","MiNT","109","Type 0x32"
"23","0.231960","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"24","0.231964","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"25","0.231964","172.16.20.226","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"26","0.231968","fe80::b542:1b0e:460b:e6b8","ff02::c","SSDP","183","M-SEARCH * HTTP/1.1 "
"27","0.238314","172.16.23.229","224.0.0.251","MDNS","60","Standard query response 0x0000"
"28","0.332111","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"29","0.332207","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"30","0.365436","HonHaiPr_e4:32:11","ZebraTec_f0:f0:04","0x8781","74","Ethernet II"
"31","0.365440","fe80::b542:1b0e:460b:e6b8","ff02::1:3","LLMNR","95","Standard query 0x3ef4 ANY LAPTOP-OTN15M14"
"32","0.365441","172.16.20.226","224.0.0.252","LLMNR","75","Standard query 0x3ef4 ANY LAPTOP-OTN15M14"
"33","0.365442","172.16.22.99","172.16.23.255","NBNS","92","Name query NB WPAD<00>"
"34","0.365443","172.16.22.70","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"35","0.365762","HonHaiPr_e4:32:11","ZebraTec_f0:f0:04","0x8781","594","Ethernet II"
"36","0.365764","172.16.22.70","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"37","0.417273","fe80::b542:1b0e:460b:e6b8","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"38","0.427696","172.16.21.76","255.255.255.255","UDP","68","60755  >  2008 Len=26"
"39","0.427698","172.16.21.76","255.255.255.255","UDP","68","60755  >  2007 Len=26"
"40","0.427901","172.16.23.109","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"41","0.427902","172.16.23.109","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"42","0.427903","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"43","0.427904","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"44","0.432366","172.16.23.222","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"45","0.432371","172.16.22.232","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"46","0.512887","fe80::c079:2d44:287:bea6","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
